,id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
1744,a182a59497ad8149d04f734dc4fb1f83,krakow,tenement,45.0,2.0,1.0,3.0,1898.0,50.0554231,19.9354999,0.21,70.0,0.253,0.794,0.237,0.179,0.047,0.08,0.389,condominium,brick,,no,yes,no,no,no,2450
1745,161e1fcf1f1bbf775f34681b0c4a2584,krakow,blockOfFlats,29.75,1.0,1.0,2.0,1950.0,50.01425827,19.91733051,4.81,1.0,0.675,0.866,0.565,0.121,0.92,3.04,0.714,condominium,brick,,no,yes,no,no,no,2000
1746,3db02449de7b345df85c3ac0be98255f,krakow,tenement,60.0,2.0,5.0,5.0,,50.0472851,19.9407502,0.91,54.0,0.183,0.086,0.504,0.075,0.112,0.17,0.061,condominium,brick,premium,yes,yes,yes,no,no,4900
1747,a1db8611c5ea7c06cf073e4ac3b477da,krakow,apartmentBuilding,55.0,2.0,3.0,5.0,2010.0,50.0600175,19.9290702,0.85,75.0,0.124,0.224,0.236,0.501,0.023,0.599,0.24,condominium,brick,,yes,no,yes,no,no,3700
1748,55363971ddd35fc5216a4716675200d8,krakow,tenement,61.58,3.0,2.0,5.0,1920.0,50.0676068,19.9395579,1.37,86.0,0.144,0.506,0.105,0.151,0.081,0.374,0.067,condominium,brick,,yes,yes,yes,no,no,3300
1749,7b11728a2d7d2a628d0105d1b2a8f04c,krakow,,38.0,2.0,11.0,11.0,,50.08747,19.96879,4.18,21.0,0.107,0.752,0.316,0.025,0.084,2.493,0.309,condominium,,,no,no,yes,no,no,2200
1750,be7b431b9678bd2d91c84d58c4e82b09,krakow,apartmentBuilding,42.39,2.0,1.0,2.0,1998.0,50.0166827,19.9505959,4.38,10.0,0.124,1.064,0.079,0.124,0.152,1.266,0.09,condominium,brick,,yes,yes,no,yes,no,2500
1751,16aeba557729a92eed8a0017785dd5c1,krakow,apartmentBuilding,67.0,3.0,3.0,5.0,2014.0,50.0650458,19.9509233,1.4,54.0,0.32,0.038,0.341,0.917,0.06,0.784,0.033,condominium,brick,premium,no,no,yes,no,no,5499
1752,a2d4f231f513a5c40f58856b3f38936d,krakow,tenement,53.0,2.0,1.0,1.0,,50.0666651,19.9496968,1.5,42.0,0.258,0.165,0.299,0.879,0.061,0.859,0.195,condominium,brick,premium,no,no,,no,no,2900
1753,9ac5d3f96eb6c3352e6dff8961edf401,krakow,blockOfFlats,48.0,3.0,1.0,2.0,2008.0,50.1013040481273,19.872130547508,6.97,0.0,1.023,0.985,1.557,1.634,1.856,3.548,2.024,condominium,brick,,yes,yes,no,no,yes,2200
1754,e27f0046c0d4596278d30a2522361a72,krakow,tenement,106.0,5.0,2.0,5.0,,50.0567669,19.9427828,0.35,104.0,0.15,0.673,0.307,0.212,0.103,0.484,0.253,condominium,brick,premium,yes,yes,yes,no,no,6500
1755,c4fb2f0da9a9168ccaa2a63d509e8a89,krakow,tenement,33.0,2.0,1.0,1.0,1950.0,50.0851745,19.9473248,3.38,13.0,0.658,0.211,0.192,0.081,0.289,1.255,0.181,condominium,brick,premium,no,no,no,no,no,2000
1756,f5a0dc833686b3e4994549267bf42dc4,krakow,,33.71,2.0,4.0,5.0,2023.0,50.03581,20.00069,4.94,4.0,0.222,1.101,0.47,0.711,0.483,0.368,0.507,condominium,,,no,yes,no,no,no,2450
1757,685c36b333bab263d8518899f4b31627,krakow,blockOfFlats,26.0,1.0,3.0,4.0,1980.0,50.07735,19.91938,2.8,19.0,0.153,0.504,0.204,0.2,0.158,0.585,0.28,condominium,,,no,no,no,no,yes,1990
